Modelo,Features,Melhor F1 (CV),F1 (Teste),Precisão (Teste),Recall (Teste),Melhores Parâmetros
Reg. Logística,Ab. 3: Híbrida,0.8530100127876716,0.8541557762676425,0.9466975666280417,0.7780952380952381,{'clf__C': 1}
SVM Linear,Ab. 3: Híbrida,0.8517079749217843,0.8526481384373361,0.9486581096849475,0.7742857142857142,{'clf__C': 0.1}
Reg. Logística,Ab. 2: Linguística,0.8468532248458184,0.8486457780138078,0.9591836734693877,0.7609523809523809,{'clf__C': 0.1}
SVM Linear,Ab. 2: Linguística,0.8467829005120819,0.8486457780138078,0.9591836734693877,0.7609523809523809,{'clf__C': 0.1}
SVM Linear,Ab. 1: TF-IDF,0.7990452174221748,0.8125,0.8336673346693386,0.7923809523809524,{'clf__C': 1}
Reg. Logística,Ab. 1: TF-IDF,0.79950111592751,0.8122568093385214,0.8300198807157058,0.7952380952380952,{'clf__C': 10}
