Modelo,Features,Melhor F1 (CV),F1 (Teste),Precisão (Teste),Recall (Teste),Melhores Parâmetros
Reg. Logística,Ab. 3: Híbrida,0.8381921109193836,0.8208436724565756,0.8569948186528498,0.7876190476190477,{'clf__C': 10}
SVM Linear,Ab. 3: Híbrida,0.8359624704283979,0.8190854870775348,0.8565488565488566,0.7847619047619048,{'clf__C': 1}
SVM Linear,Ab. 1: TF-IDF,0.7990452174221748,0.8125,0.8336673346693386,0.7923809523809524,{'clf__C': 1}
Reg. Logística,Ab. 1: TF-IDF,0.79950111592751,0.8122568093385214,0.8300198807157058,0.7952380952380952,{'clf__C': 10}
Reg. Logística,Ab. 2: Linguística,0.830948236530034,0.7909725953788286,0.9075215782983971,0.700952380952381,{'clf__C': 1}
SVM Linear,Ab. 2: Linguística,0.8309809040821504,0.7909725953788286,0.9075215782983971,0.700952380952381,{'clf__C': 0.1}
